排名,昵称,商业价值总分,等级,粉丝量,21-60s报价,预期播放量,21-60s实算CPM,互动率,完播率,报告文件
1,毒辣车评,76.0,A级,9957935,250000.0,,,,,01_毒辣车评_商业价值分析报告.md
2,财经林妹妹,72.6,A级,8659540,190000.0,1388945.0,136.8,0.019,0.0915,02_财经林妹妹_商业价值分析报告.md
3,车圈阿飞,71.6,B级,6619025,140000.0,1132100.0,123.7,0.0294,0.0845,03_车圈阿飞_商业价值分析报告.md
4,晓北-城市私家车,71.2,B级,8405453,180000.0,833619.0,215.9,0.0228,0.0555,04_晓北-城市私家车_商业价值分析报告.md
5,老爷车天鹰,70.9,B级,5622483,70000.0,556668.0,125.7,0.0144,0.0901,05_老爷车天鹰_商业价值分析报告.md
6,肖肖玩车,66.4,B级,5816396,190000.0,2296669.0,82.7,0.0071,0.0119,06_肖肖玩车_商业价值分析报告.md
7,电感少女,58.9,C级,6253022,190000.0,1784214.0,106.5,0.0069,0.0289,07_电感少女_商业价值分析报告.md
8,小乔来了,57.7,C级,5190016,130000.0,524607.0,247.8,0.0088,0.0921,08_小乔来了_商业价值分析报告.md
9,车事纪,57.0,C级,5978230,200000.0,486649.0,411.0,0.011,0.0641,09_车事纪_商业价值分析报告.md
